Location_ID,Location_Name,Location_Setting,Location_Setting_Description,Location_Description,Ecology_Facility_Site_ID,Is_Location_a_Well,Address,City,State,Zip_Code,County,Watershed_WRIA,Ecology_Region,US_Congressional_District,State_Legislative_District,NHD_Reach_Code,NHD_Reach_Measure,NHD_Edit_Date,Calculated_Latitude_Decimal_Degrees_NAD83HARN,Calculated_Longitude_Decimal_Degrees_NAD83HARN,Horizontal_Coordinates_Represent,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale,Township_Number,Township_Direction,Range_Number,Range_Direction,Section_Number,Quarter_Section_Township_Range,Quarter_Quarter_Section_Township_Range,Elevation_of,Elevation,Elevation_Units,Elevation_Datum,Elevation_Accuracy,Elevation_Collecton_Method,Sediment_Elevation_Elevation_Reference,Location_Suspect_or_Rejected_Flag,Location_Suspect_Code,Location_Suspect_Description,Location_ID_Alias,Associated_Study_ID,Record_Created_On,Location_System_ID
NSQ002,NSQ002,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Nisqually Reach - Devils Head,,N,,,WA,,Pierce,Kitsap,Southwest Regional Office,6,26,,,,47.16833554,-122.7867149,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MarineWater-P, MicrobialRespiration",8/11/2016 18:22,100046819
OAK004,OAK004,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Oakland Bay - Near Eagle Point,,N,,,WA,,Mason,Kennedy-Goldsborough,Southwest Regional Office,6,35,,,,47.21333552,-123.0767149,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MarineWater-P, MicrobialRespiration",8/11/2016 18:22,100046821
PSS019,PSS019,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Possession Sound - Gedney Island,,N,,,WA,,Snohomish,Snohomish,Northwest Regional Office,2,38,,,,48.01167564,-122.300015,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MarineWater-P, MicrobialRespiration",8/11/2016 18:22,100046833
SKG003,SKG003,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Skagit Bay - Str. Point Red Buoy,,N,,,WA,,Island,Island,Northwest Regional Office,2,10,,,,48.29667564,-122.4883151,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MarineWater-P, MicrobialRespiration",8/11/2016 18:22,100046844
ADM002,ADM002,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Admiralty Inlet north - Quimper Point,,N,,,WA,,Jefferson,Quilcence-Snow,Southwest Regional Office,6,24,,,,48.18750559,-122.8417151,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:25,001 - 1:50,000",,,,,,,,,,,,,,,,,,,"MarineWater, MarineWater-P, MicrobialRespiration, WHIDCAM",9/22/1998 0:00,1183922
SAR003,SAR003,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Saratoga Passage - East Point,,N,,,WA,,Island,Island,Northwest Regional Office,2,10,,,,48.10833563,-122.490015,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:25,001 - 1:50,000",,,,,,,,,,,,,,,,,,,"MarineWater, MarineWater-P, MicrobialRespiration, WHIDCAM",9/22/1998 0:00,2183922
ADM001,ADM001,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Admiralty Inlet - Bush Point,,N,,,WA,,Island,Island,Northwest Regional Office,2,10,,,,48.03000561,-122.616715,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MicrobialRespiration",8/11/2016 18:21,100046765
BLL040,BLL040,ESTUARY,"Area where fresh and salt water intermix, like bay, lagoon, etc",Strait of Georgia: Bellingham Bay - east of Chuckanut Rock,,N,,,WA,,Whatcom,Nooksack,Northwest Regional Office,2,40,,,,48.68397,-122.5382,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MicrobialRespiration",8/11/2016 18:21,100046770
GOR001,GOR001,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Northwest of Gordon Point; between Balch Passage & Toliva Shoal,,N,,,WA,,Pierce,Kitsap,Southwest Regional Office,10,28,,,,47.18333556,-122.6333148,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MicrobialRespiration",8/11/2016 18:21,100046793
PTH005,PTH005,Estuary,"Area where fresh and salt water intermix, like bay, lagoon, etc",Port Townsend Harbor - Walan Point,,N,,,WA,,Jefferson,Quilcence-Snow,Southwest Regional Office,6,24,,,,48.08333559,-122.7633151,Discrete monitoring point,+/- 40 ft (12 m),Paper map interpolation,"1:50,001 - 1:100,000",,,,,,,,,,,,,,,,,,,"MarineWater, MicrobialRespiration",8/11/2016 18:22,100046834
